,New_cases,New_deaths,Date
789,78090,2132,3-2022
790,64245,1929,3-2022
791,53139,1479,3-2022
792,51159,1260,3-2022
793,44853,1492,3-2022
794,13732,292,3-2022
795,8530,302,3-2022
796,60034,1450,3-2022
797,31021,1659,3-2022
798,48117,1932,3-2022
799,41197,1220,3-2022
800,38240,1399,3-2022
801,10807,495,3-2022
802,8360,133,3-2022
803,65569,-2465,3-2022
804,25467,1371,3-2022
805,40844,1496,3-2022
806,35769,1005,3-2022
807,32348,903,3-2022
808,6411,134,3-2022
809,18124,346,3-2022
810,40117,890,3-2022
811,26781,939,3-2022
812,47528,1335,3-2022
